City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Port Elizabeth,ZA,2022-10-12 04:12:50,-33.918,25.5701,292.09,93,99,1.34
133,Lucapa,AO,2022-10-12 04:12:51,-8.4192,20.7447,290.12,91,34,0.97
134,Tasiilaq,GL,2022-10-12 04:12:51,65.6145,-37.6368,273.24,96,100,1.99
135,Provideniya,RU,2022-10-12 04:04:22,64.3833,-173.3,274.21,69,75,3.13
136,Nortelandia,BR,2022-10-12 04:12:52,-14.4547,-56.8028,295.55,89,97,0.24
137,Portland,US,2022-10-12 04:01:22,45.5234,-122.6762,291.82,70,0,3.13
138,Kamphaeng Phet,TH,2022-10-12 04:13:53,16.25,99.5,300.92,76,16,2.5
139,Avarua,CK,2022-10-12 04:13:54,-21.2078,-159.775,297.18,88,100,8.75
140,Beloha,MG,2022-10-12 04:13:54,-25.1667,45.05,295.26,67,0,4.05
141,Geraldton,AU,2022-10-12 04:13:55,-28.7667,114.6,293.38,37,1,7.2
142,Vanderhoof,CA,2022-10-12 04:13:56,54.0166,-124.0198,281.6,75,40,1.98
143,Ajaccio,FR,2022-10-12 04:13:56,42.0,8.9167,286.18,88,0,2.06
144,Ottawa,CA,2022-10-12 04:05:19,45.4112,-75.6981,284.03,82,4,1.44
145,Beyneu,KZ,2022-10-12 04:13:57,45.3167,55.2,287.51,28,8,2.21
146,Bilma,NE,2022-10-12 04:13:59,18.6853,12.9164,299.4,20,0,4.2
147,Broome,US,2022-10-12 04:13:59,42.2506,-75.833,285.57,77,0,0.45
148,Lardos,GR,2022-10-12 04:14:00,36.0942,28.0157,293.05,78,97,4.85
149,Faanui,PF,2022-10-12 04:14:00,-16.4833,-151.75,298.77,77,15,7.04
150,Mulchen,CL,2022-10-12 04:14:01,-37.7167,-72.2333,283.62,79,99,0.89
151,Udachnyy,RU,2022-10-12 04:14:02,66.4167,112.4,274.51,92,99,2.97
152,Launceston,AU,2022-10-12 04:10:30,-41.45,147.1667,290.95,73,100,7.2
153,Scarborough,GB,2022-10-12 04:14:03,54.2797,-0.4044,281.36,81,83,4.47
154,Masterton,NZ,2022-10-12 04:09:40,-40.9597,175.6575,285.31,96,100,1.75
155,Gasa,PS,2022-10-12 04:13:10,31.5,34.4667,292.53,72,6,1.9
156,Moratuwa,LK,2022-10-12 04:14:04,6.773,79.8816,300.25,79,82,4.34
157,Key Biscayne,US,2022-10-12 04:13:52,25.6937,-80.1628,301.49,87,40,2.57
158,Phan Thiet,VN,2022-10-12 04:14:05,10.9333,108.1,302.74,66,62,2.41
159,Nalut,LY,2022-10-12 04:14:06,30.3333,10.85,295.71,28,9,4.01
160,Butterworth,MY,2022-10-12 04:14:06,5.3991,100.3638,302.04,76,20,2.06
161,Arraial Do Cabo,BR,2022-10-12 04:14:07,-22.9661,-42.0278,296.07,88,40,9.26
162,Praia,CV,2022-10-12 04:14:07,14.9215,-23.5087,298.45,88,75,4.12
163,Longyan,CN,2022-10-12 04:14:08,25.1072,117.0225,297.5,42,2,2.38
164,Pechora,RU,2022-10-12 04:14:09,65.1472,57.2244,278.15,91,100,3.35
165,Cabo San Lucas,MX,2022-10-12 04:14:09,22.8909,-109.9124,301.77,76,56,2.84
166,Rocha,UY,2022-10-12 04:14:10,-34.4833,-54.3333,284.44,96,98,2.72
167,Agadir,MA,2022-10-12 04:11:20,30.4202,-9.5982,290.4,84,0,3.62
168,Baijiantan,CN,2022-10-12 04:14:11,45.6333,85.1833,286.3,34,0,3.87
169,Pevek,RU,2022-10-12 04:14:11,69.7008,170.3133,269.09,89,100,9.45
170,Luau,AO,2022-10-12 04:14:12,-10.7073,22.2247,290.23,47,63,0.96
171,Plettenberg Bay,ZA,2022-10-12 04:14:12,-34.0527,23.3716,289.79,89,99,0.26
172,Longyearbyen,SJ,2022-10-12 04:14:13,78.2186,15.6401,275.06,69,75,8.23
173,Kununurra,AU,2022-10-12 04:14:14,-15.7667,128.7333,312.14,22,40,5.66
174,Jishu,CN,2022-10-12 04:14:14,44.3167,126.8,287.29,42,48,3.83
175,Belaya Gora,RU,2022-10-12 04:12:18,68.5333,146.4167,268.55,49,12,2.66
176,Kaeo,NZ,2022-10-12 04:14:15,-35.1,173.7833,291.66,72,100,2.81
177,Aswan,EG,2022-10-12 04:14:16,24.0934,32.907,296.52,38,0,3.86
178,Hollola,FI,2022-10-12 04:14:16,61.05,25.4333,277.11,92,6,3.46
179,Hirara,JP,2022-10-12 04:15:17,24.8,125.2833,298.46,74,100,12.12
180,Neiafu,TO,2022-10-12 04:15:18,-18.65,-173.9833,299.53,73,20,3.6
181,Karlovo,BG,2022-10-12 04:15:18,42.6333,24.8,287.36,83,100,0.71
182,Biak,ID,2022-10-12 04:15:19,-0.9131,122.8766,299.39,78,100,4.18
183,Klaksvik,FO,2022-10-12 04:15:20,62.2266,-6.589,283.66,97,100,10.69
184,Beringovskiy,RU,2022-10-12 04:12:18,63.05,179.3167,272.94,68,78,3.42
185,Cherskiy,RU,2022-10-12 04:15:21,68.75,161.3,263.67,90,30,3.48
186,Esperance,AU,2022-10-12 04:15:21,-33.8667,121.9,287.26,55,78,9.57
187,Pangnirtung,CA,2022-10-12 04:15:22,66.1451,-65.7125,266.24,73,77,0.4
188,Baiao,BR,2022-10-12 04:15:23,-2.7906,-49.6717,296.81,77,11,0.72
189,Stolbishche,RU,2022-10-12 04:15:23,55.6468,49.216,281.4,93,75,3.13
190,Ocean City,US,2022-10-12 04:11:43,39.2776,-74.5746,288.7,77,0,0.89
191,Sheregesh,RU,2022-10-12 04:15:24,52.9209,87.9869,280.13,66,100,3.64
192,Ola,RU,2022-10-12 04:15:25,59.5833,151.2833,277.12,51,100,2.5
193,Elko,US,2022-10-12 04:15:25,41.0002,-115.5012,287.95,28,1,2.24
194,Lagoa,PT,2022-10-12 04:15:26,39.05,-27.9833,294.04,82,40,2.17
195,Ljungby,SE,2022-10-12 04:15:27,56.8332,13.9408,278.38,96,46,2.81
196,Severo-Yeniseyskiy,RU,2022-10-12 04:15:27,60.3725,93.0408,273.43,96,100,3.5
197,Torbay,CA,2022-10-12 04:15:28,47.6666,-52.7314,283.3,82,40,6.17
198,Yeppoon,AU,2022-10-12 04:15:28,-23.1333,150.7333,300.03,66,3,6.82
199,Ancud,CL,2022-10-12 04:15:29,-41.8697,-73.8203,281.35,87,81,5.11
200,Sanjo,JP,2022-10-12 04:15:00,37.6167,138.95,293.05,68,100,2.75
201,Hondo,JP,2022-10-12 04:15:30,32.45,130.2,293.25,55,53,3.86
202,Alofi,NU,2022-10-12 04:15:31,-19.0595,-169.9187,297.09,100,27,3.6
203,Shelburne,CA,2022-10-12 04:11:21,44.0787,-80.2041,287.37,61,93,6.15
204,Santona,ES,2022-10-12 04:15:32,43.4439,-3.4576,291.26,92,84,2.11
205,Tiksi,RU,2022-10-12 04:15:33,71.6872,128.8694,267.75,81,100,7.01
206,Okhotsk,RU,2022-10-12 04:15:33,59.3833,143.3,276.28,52,26,5.87
207,Talnakh,RU,2022-10-12 04:15:34,69.4865,88.3972,273.82,91,91,2.84
208,Lisala,CD,2022-10-12 04:15:34,2.15,21.5167,293.02,99,91,0.9
209,Amurzet,RU,2022-10-12 04:15:35,47.6967,131.0981,285.82,35,97,2.68
210,Wloszczowa,PL,2022-10-12 04:15:36,50.8526,19.9659,279.63,79,90,0.34
211,Opuwo,NA,2022-10-12 04:15:37,-18.0607,13.84,292.5,31,28,1.91
212,Aasiaat,GL,2022-10-12 04:15:38,68.7098,-52.8699,267.74,91,100,2.34
213,Madaoua,NE,2022-10-12 04:15:38,14.073,5.96,300.93,21,8,2.86
214,Iquique,CL,2022-10-12 04:15:39,-20.2208,-70.1431,288.17,72,41,0.74
215,Itaituba,BR,2022-10-12 04:15:39,-4.2761,-55.9836,295.98,92,22,0.61
