City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Mwense,ZM,-10.3845,28.698,65.98,31,74,1.1,broken clouds
158,Pisco,PE,-13.7,-76.2167,59.05,88,5,10.36,clear sky
159,Harper,LR,4.375,-7.7169,76.95,84,100,6.46,overcast clouds
160,Arlit,NE,18.7369,7.3853,82.11,17,0,7.27,clear sky
161,Allapalli,IN,19.4167,80.0667,77.7,90,92,0.31,overcast clouds
162,Jardim,BR,-21.4803,-56.1381,68.45,89,100,2.91,overcast clouds
163,Olinda,BR,-8.0089,-34.8553,76.73,78,40,10.36,scattered clouds
164,Takoradi,GH,4.8845,-1.7554,76.14,89,100,7.2,light rain
165,Lubumbashi,CD,-11.6609,27.4794,59.67,36,32,3.02,scattered clouds
166,Lujan,AR,-34.5703,-59.105,55.11,94,52,6.71,broken clouds
167,La Asuncion,VE,11.0333,-63.8628,79.5,85,4,12.73,clear sky
168,Taoudenni,ML,22.6783,-3.9836,86.52,10,52,10.96,broken clouds
169,Victoria,HK,22.2855,114.1577,88.18,46,99,13.0,overcast clouds
170,Longyearbyen,SJ,78.2186,15.6401,24.64,68,0,14.97,clear sky
171,Bud,US,39.447,-86.1758,48.31,68,73,5.99,broken clouds
172,Valky,UA,49.8387,35.6207,36.01,75,77,7.05,broken clouds
173,Ronne,DK,55.1009,14.7066,57.11,94,75,9.22,broken clouds
174,Bozoum,CF,6.3193,16.3799,67.89,94,100,2.37,overcast clouds
175,Caravelas,BR,-17.7125,-39.2481,73.33,76,17,7.81,few clouds
176,Inhambane,MZ,-23.865,35.3833,70.56,83,8,4.74,clear sky
177,Somogyvar,HU,46.5814,17.6629,54.28,70,12,4.47,few clouds
178,Piacabucu,BR,-10.4056,-36.4344,73.63,75,4,6.89,clear sky
179,Puri,IN,19.8,85.85,82.92,77,6,7.83,clear sky
180,Murgab,TM,37.4966,61.9714,67.14,25,1,6.6,clear sky
181,Riachao,BR,-7.3619,-46.6172,82.0,35,79,4.34,broken clouds
182,Calama,CL,-22.4667,-68.9333,46.89,8,0,9.22,clear sky
183,Tambacounda,SN,13.7539,-13.7586,77.76,84,66,5.59,broken clouds
184,Surbo,IT,40.3994,18.1331,56.82,80,1,7.27,clear sky
185,Saint-Pierre,RE,-21.3393,55.4781,71.56,56,0,8.05,clear sky
186,Arrecife,ES,28.963,-13.5477,69.78,78,100,8.05,thunderstorm with light rain
187,Turtas,RU,58.9417,69.1325,44.38,91,99,2.8,overcast clouds
188,Vezirkopru,TR,41.1436,35.4547,52.29,92,100,0.6,overcast clouds
189,Barahona,DO,18.2085,-71.1008,78.75,76,13,2.04,few clouds
190,Chitral,PK,35.8462,71.7858,66.18,19,0,4.81,clear sky
191,Paramonga,PE,-10.6667,-77.8333,61.68,85,82,7.65,broken clouds
192,Strezhevoy,RU,60.7333,77.5889,36.37,79,100,5.82,overcast clouds
193,Preobrazhenka,UA,47.5719,35.8167,40.41,67,99,10.38,overcast clouds
194,Lebu,CL,-37.6167,-73.65,50.52,88,87,15.93,overcast clouds
195,Sakhnovshchyna,UA,49.1517,35.872,36.54,73,97,7.72,overcast clouds
196,Sept-Iles,CA,50.2001,-66.3821,48.72,98,100,14.97,light intensity drizzle
197,Soure,BR,-0.7167,-48.5233,80.83,77,46,9.17,scattered clouds
198,San Cristobal,VE,7.7669,-72.225,66.29,93,15,2.04,few clouds
199,Ucar,AZ,40.519,47.6542,66.38,73,100,3.89,overcast clouds
200,Russkiy Kameshkir,RU,52.8589,46.0892,33.69,83,89,3.76,overcast clouds
201,Hambantota,LK,6.1241,81.1185,80.94,94,20,8.05,few clouds
202,Oranjemund,NA,-28.55,16.4333,58.37,94,4,3.15,clear sky
203,Porto Walter,BR,-8.2686,-72.7439,71.01,94,52,1.45,broken clouds
204,Tshane,BW,-24.0196,21.8684,69.66,35,100,5.35,overcast clouds
